,HUMIDITY,LIGHT_INTENSITY,LPG_CONCENTRATION,TEMPERATURE,MOTOR,SMOKE,BATTERY_VOLTAGE,CARBON_MONOXIDE,TIMESTAMP
44,{'S': '49.1544'},{'S': '21.0237'},{'S': '0'},{'S': '36.8281'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1522'},{'S': '0'},"{'S': '05/15/2023, 17:24:03'}"
45,{'S': '49.3786'},{'S': '26.7405'},{'S': '0'},{'S': '36.9511'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.196'},{'S': '0'},"{'S': '05/15/2023, 17:17:31'}"
46,{'S': '49.2639'},{'S': '31.3121'},{'S': '0'},{'S': '36.9297'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1736'},{'S': '0'},"{'S': '05/15/2023, 17:20:21'}"
47,{'S': '49.6158'},{'S': '4.92183'},{'S': '0'},{'S': '12'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4999'},{'S': '0'},"{'S': '05/15/2023, 15:19:32'}"
48,{'S': '48.865'},{'S': '32.3755'},{'S': '0'},{'S': '36.8602'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1544'},{'S': '0'},"{'S': '05/15/2023, 17:25:25'}"
49,{'S': '48.9771'},{'S': '25.0585'},{'S': '-1'},{'S': '37.1919'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3585'},{'S': '-1'},"{'S': '05/15/2023, 16:47:23'}"
50,{'S': '50.2311'},{'S': '35.39'},{'S': '0'},{'S': '36.566'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4992'},{'S': '0'},"{'S': '05/15/2023, 15:38:53'}"
51,{'S': '48.7138'},{'S': '35.694'},{'S': '-1'},{'S': '37.2347'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3667'},{'S': '-1'},"{'S': '05/15/2023, 16:48:14'}"
52,{'S': '49.303'},{'S': '31.8036'},{'S': '0'},{'S': '36.6676'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4845'},{'S': '0'},"{'S': '05/15/2023, 15:22:59'}"
53,{'S': '50.3223'},{'S': '25.7492'},{'S': '0'},{'S': '36.7051'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4846'},{'S': '0'},"{'S': '05/15/2023, 15:39:23'}"
54,{'S': '51.1096'},{'S': '16.8026'},{'S': '0'},{'S': '36.2931'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4087'},{'S': '0'},"{'S': '05/15/2023, 15:34:12'}"
55,{'S': '50.1059'},{'S': '20.8756'},{'S': '0'},{'S': '36.8495'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4671'},{'S': '0'},"{'S': '05/15/2023, 15:41:27'}"
56,{'S': '49.0501'},{'S': '22.6794'},{'S': '0'},{'S': '37.2026'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3549'},{'S': '0'},"{'S': '05/15/2023, 16:46:39'}"
57,{'S': '49.376'},{'S': '27.4697'},{'S': '0'},{'S': '36.3038'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5005'},{'S': '0'},"{'S': '05/15/2023, 15:19:02'}"
